,Wolves,Sheep,Grass
0,10,50,195
1,10,48,192
2,10,48,184
3,10,49,179
4,10,49,177
5,11,49,174
6,11,50,173
7,11,46,174
8,11,46,171
9,11,45,167
10,11,38,157
11,11,40,158
12,11,39,157
13,12,34,156
14,12,33,156
15,12,30,161
16,12,26,168
17,13,26,167
18,13,24,169
19,14,23,175
20,14,22,183
21,15,22,194
22,15,20,187
23,15,18,198
24,17,19,223
25,17,17,217
26,17,16,220
27,17,16,240
28,17,16,248
29,17,16,257
30,17,17,250
31,17,15,270
32,17,15,261
33,17,14,274
34,17,13,270
35,17,14,274
36,17,14,279
37,18,14,274
38,18,14,271
39,19,16,278
40,19,16,269
41,19,17,267
42,20,18,269
43,20,19,270
44,21,19,264
45,21,19,266
46,21,20,263
47,20,20,261
48,18,18,257
49,17,19,262
50,17,19,264
51,19,18,265
52,19,17,270
53,19,15,272
54,19,15,271
55,20,15,271
56,20,13,275
57,20,12,275
58,21,11,281
59,21,11,283
60,21,11,278
61,21,10,289
62,21,8,295
63,20,8,300
64,19,8,296
65,19,8,306
66,19,8,312
67,17,7,312
68,17,7,325
69,17,8,330
70,18,8,329
71,18,7,329
72,18,7,329
73,18,7,328
74,18,7,330
75,18,7,333
76,18,8,329
77,18,9,330
78,19,10,332
79,18,11,335
80,18,11,334
81,18,11,330
82,17,10,331
83,17,10,326
84,14,9,328
85,12,9,324
86,12,9,319
87,12,8,312
88,12,8,313
89,11,8,311
90,10,8,307
91,10,8,314
92,10,8,314
93,10,9,311
94,10,12,311
95,10,12,304
96,10,12,311
97,10,14,302
98,11,14,301
99,11,14,298
100,10,15,305
101,10,15,300
102,10,14,294
103,10,15,292
104,10,14,292
105,10,13,288
106,10,12,290
107,10,12,301
108,10,12,298
109,10,13,302
110,11,13,294
111,12,12,292
112,12,9,289
113,12,10,292
114,12,10,290
115,12,10,298
116,10,10,297
117,10,10,300
118,10,10,295
119,10,10,304
120,9,10,303
121,9,9,308
122,9,9,304
123,9,10,305
124,9,10,312
125,10,11,311
126,10,11,310
127,10,11,309
128,10,11,306
129,10,13,302
130,10,13,304
131,10,14,298
132,10,14,303
133,10,15,298
134,10,15,289
135,10,14,291
136,10,14,289
137,8,13,290
138,8,15,287
139,8,15,287
140,8,13,289
141,8,13,284
142,8,12,286
143,8,11,284
144,8,12,291
145,8,10,286
146,8,9,294
147,8,8,289
148,9,8,296
149,9,8,298
150,9,8,300
151,7,8,295
152,7,8,298
153,7,8,306
154,7,8,313
155,7,9,316
156,7,9,317
157,7,8,318
158,7,9,317
159,7,10,312
160,7,12,312
161,7,13,316
162,7,13,313
163,7,14,313
164,7,15,307
165,8,17,309
166,8,16,306
167,8,16,302
168,8,15,303
169,8,14,299
170,8,14,303
