,Wolves,Sheep,Grass
0,10,50,202
1,17,51,186
2,28,54,173
3,46,57,168
4,71,52,162
5,118,43,163
6,163,47,162
7,227,39,168
8,247,32,171
9,240,21,168
10,202,14,178
11,231,10,180
12,226,7,182
13,175,5,194
14,169,5,204
15,138,5,210
16,76,6,217
17,45,5,221
18,15,6,228
19,12,8,241
20,23,11,248
21,14,13,266
22,0,12,280
23,0,12,275
24,0,11,306
25,0,13,306
26,0,15,300
27,0,17,304
28,0,15,320
29,0,15,317
30,0,13,323
31,0,13,326
32,0,13,322
33,0,13,320
34,0,14,318
35,0,13,315
36,0,14,308
37,0,15,306
38,0,16,299
39,0,17,292
40,0,19,292
41,0,19,284
42,0,21,282
43,0,23,285
44,0,22,278
45,0,25,266
46,0,28,263
47,0,29,265
48,0,33,246
49,0,35,242
50,0,39,228
51,0,42,222
52,0,45,214
53,0,49,200
54,0,58,191
55,0,56,177
56,0,61,160
57,0,67,164
58,0,69,148
59,0,68,141
60,0,69,139
61,0,72,128
62,0,69,118
63,0,63,108
64,0,59,107
65,0,60,118
66,0,59,103
67,0,55,100
68,0,51,118
69,0,56,124
70,0,54,118
71,0,57,106
72,0,61,131
73,0,57,130
74,0,50,121
75,0,51,149
76,0,51,138
77,0,52,146
78,0,51,150
79,0,46,135
80,0,49,140
81,0,52,166
82,0,46,169
83,0,47,154
84,0,52,152
85,0,47,155
86,0,50,159
87,0,53,167
88,0,48,166
89,0,51,167
90,0,53,153
91,0,55,169
92,0,57,166
93,0,59,162
94,0,60,156
95,0,65,149
96,0,70,135
97,0,69,126
98,0,66,121
99,0,71,130
100,0,69,107
101,0,69,107
102,0,68,104
103,0,69,103
104,0,67,92
105,0,64,101
106,0,58,89
107,0,61,85
108,0,66,92
109,0,66,97
110,0,65,88
111,0,61,95
112,0,56,111
113,0,53,117
114,0,47,120
115,0,44,123
116,0,49,112
117,0,47,116
118,0,49,122
119,0,49,135
120,0,45,160
121,0,45,143
122,0,45,141
123,0,49,146
124,0,48,149
125,0,49,148
126,0,47,157
127,0,54,152
128,0,54,138
129,0,53,149
130,0,54,135
131,0,48,136
132,0,45,122
133,0,50,126
134,0,56,136
135,0,59,131
136,0,58,124
137,0,64,113
138,0,66,114
139,0,64,126
140,0,65,118
141,0,59,126
142,0,57,113
143,0,52,133
144,0,55,142
145,0,52,142
146,0,57,130
147,0,57,149
148,0,59,151
149,0,58,134
150,0,63,140
151,0,61,125
152,0,65,137
153,0,64,126
154,0,64,128
155,0,61,128
156,0,67,127
157,0,68,124
158,0,67,120
159,0,61,116
160,0,67,97
161,0,70,93
162,0,64,124
163,0,60,117
164,0,65,110
165,0,59,110
166,0,58,93
167,0,59,103
168,0,50,107
169,0,50,101
170,0,47,108
171,0,46,123
172,0,41,131
173,0,39,133
174,0,36,152
175,0,40,159
176,0,45,147
177,0,47,168
178,0,47,154
179,0,50,156
180,0,45,184
181,0,48,178
182,0,45,175
183,0,43,167
184,0,43,185
185,0,42,187
186,0,42,194
187,0,41,198
188,0,43,194
189,0,39,185
190,0,40,170
191,0,37,169
192,0,38,166
193,0,42,175
194,0,50,174
195,0,57,169
196,0,54,155
197,0,54,150
198,0,59,148
199,0,56,147
200,0,57,154
201,0,50,144
202,0,45,163
203,0,42,159
204,0,45,160
205,0,45,159
206,0,40,146
207,0,46,154
208,0,45,152
209,0,49,151
210,0,44,142
211,0,42,156
212,0,42,144
213,0,43,140
214,0,43,158
215,0,45,149
216,0,46,167
217,0,42,156
218,0,43,162
219,0,47,167
220,0,53,169
221,0,51,176
222,0,49,162
223,0,56,152
224,0,63,145
225,0,67,152
226,0,65,146
227,0,65,133
228,0,71,125
229,0,70,126
230,0,67,130
231,0,67,125
232,0,69,128
233,0,69,110
234,0,68,110
235,0,69,101
236,0,67,100
237,0,69,86
238,0,71,99
239,0,68,82
240,0,66,84
241,0,70,99
242,0,65,91
243,0,68,114
244,0,69,118
245,0,55,109
246,0,52,111
247,0,43,121
248,0,45,143
249,0,41,142
250,0,40,148
251,0,43,140
252,0,44,143
253,0,41,169
254,0,41,180
255,0,42,164
256,0,43,170
257,0,43,184
258,0,37,181
259,0,40,166
260,0,44,175
261,0,45,167
262,0,45,170
263,0,44,157
264,0,44,159
265,0,44,167
266,0,45,156
267,0,47,165
268,0,50,146
269,0,48,155
270,0,49,147
271,0,48,141
272,0,48,124
273,0,46,126
274,0,50,135
275,0,51,136
276,0,54,121
277,0,50,121
278,0,49,134
279,0,48,121
280,0,52,121
281,0,56,117
282,0,61,136
283,0,69,122
284,0,72,128
285,0,65,125
286,0,66,121
287,0,70,110
288,0,67,110
289,0,66,129
290,0,65,114
291,0,62,114
292,0,61,115
293,0,63,128
294,0,61,108
295,0,59,123
296,0,56,127
297,0,58,129
298,0,58,131
299,0,54,128
300,0,60,129
301,0,56,116
302,0,59,127
303,0,56,128
304,0,64,124
305,0,64,111
306,0,65,123
307,0,55,138
308,0,54,140
309,0,59,146
310,0,60,154
311,0,55,152
312,0,53,152
313,0,52,136
314,0,55,135
315,0,52,138
316,0,56,144
317,0,55,138
318,0,57,126
319,0,53,126
320,0,53,129
321,0,49,145
322,0,43,146
323,0,47,132
324,0,50,131
325,0,47,152
326,0,48,143
327,0,52,131
328,0,59,140
329,0,55,142
330,0,54,138
331,0,56,127
332,0,57,129
333,0,51,131
334,0,54,150
335,0,56,138
336,0,56,166
337,0,55,151
338,0,56,152
339,0,56,156
340,0,57,158
341,0,49,161
342,0,47,158
343,0,45,161
344,0,49,152
345,0,55,167
346,0,50,154
347,0,51,156
348,0,45,153
349,0,47,162
350,0,45,147
351,0,41,157
352,0,40,155
353,0,40,157
354,0,47,149
355,0,45,147
356,0,47,151
357,0,52,140
358,0,49,153
359,0,57,138
360,0,54,139
361,0,52,144
362,0,51,133
363,0,54,146
364,0,58,142
365,0,62,128
366,0,66,128
367,0,61,124
368,0,70,140
369,0,65,136
370,0,59,139
371,0,62,137
372,0,67,127
373,0,68,123
374,0,67,117
375,0,59,121
376,0,60,135
377,0,52,126
378,0,49,136
379,0,46,138
380,0,50,124
381,0,53,131
382,0,50,133
383,0,53,128
384,0,53,124
385,0,56,140
386,0,56,139
387,0,46,129
388,0,42,145
389,0,42,151
390,0,38,152
391,0,37,137
392,0,39,140
393,0,35,144
394,0,39,153
395,0,43,158
396,0,44,162
397,0,48,161
398,0,43,166
399,0,45,151
400,0,48,147
401,0,48,158
402,0,51,148
403,0,54,160
404,0,50,166
405,0,51,155
406,0,47,167
407,0,45,152
408,0,38,166
409,0,36,157
410,0,37,154
411,0,41,175
412,0,39,161
413,0,38,160
414,0,43,153
415,0,42,164
416,0,47,156
417,0,52,163
418,0,51,172
419,0,53,175
420,0,56,163
421,0,56,179
422,0,62,162
423,0,58,151
424,0,63,163
425,0,63,159
426,0,59,142
427,0,63,138
428,0,66,148
429,0,68,144
430,0,71,130
431,0,69,132
432,0,69,119
433,0,66,127
434,0,65,125
435,0,59,112
436,0,61,110
437,0,58,110
438,0,63,98
439,0,63,112
440,0,74,99
441,0,61,111
442,0,60,114
443,0,63,103
444,0,56,121
445,0,52,130
446,0,51,137
447,0,51,139
448,0,50,129
449,0,57,133
450,0,58,145
451,0,53,128
452,0,54,132
453,0,53,131
454,0,51,137
455,0,48,140
456,0,50,142
457,0,50,144
458,0,43,158
459,0,39,160
460,0,39,149
461,0,34,163
462,0,37,157
463,0,40,173
464,0,38,166
465,0,43,173
466,0,44,170
467,0,42,167
468,0,41,170
469,0,43,182
470,0,36,173
471,0,33,199
472,0,36,199
473,0,39,199
474,0,40,183
475,0,41,185
476,0,45,191
477,0,48,192
478,0,50,201
479,0,49,197
480,0,51,176
481,0,51,184
482,0,53,173
483,0,52,171
484,0,56,161
485,0,58,158
486,0,58,149
487,0,62,136
488,0,60,135
489,0,57,134
490,0,59,140
491,0,57,127
492,0,59,115
493,0,65,93
494,0,66,97
495,0,67,112
496,0,69,106
497,0,70,108
498,0,72,101
499,0,61,104
500,0,55,126
501,0,55,126
