,Wolves,Sheep,Grass
0,10,50,206
1,20,59,190
2,40,67,173
3,80,77,171
4,160,84,157
5,320,80,147
6,266,65,135
7,266,60,139
8,358,54,141
9,414,46,135
10,250,22,137
11,296,20,141
12,242,17,145
13,304,15,151
14,122,15,153
15,150,17,156
16,110,18,158
17,46,18,173
18,32,20,178
19,32,21,179
20,32,28,182
21,0,28,173
22,0,28,191
23,0,32,215
24,0,27,236
25,0,29,228
26,0,31,233
27,0,33,255
28,0,31,248
29,0,31,257
30,0,34,254
31,0,39,255
32,0,39,252
33,0,32,238
34,0,32,231
35,0,31,233
36,0,34,230
37,0,34,225
38,0,41,219
39,0,43,216
40,0,44,214
41,0,42,200
42,0,41,206
43,0,43,203
44,0,48,200
45,0,47,185
46,0,49,182
47,0,47,181
48,0,46,177
49,0,47,165
50,0,48,162
51,0,45,161
52,0,49,154
53,0,59,150
54,0,79,150
55,0,78,135
56,0,97,123
57,0,94,107
58,0,93,112
59,0,82,101
60,0,83,96
61,0,66,100
62,0,71,107
63,0,74,104
64,0,83,91
65,0,77,98
66,0,72,85
67,0,69,97
68,0,74,87
69,0,68,108
70,0,49,108
71,0,47,98
72,0,37,101
73,0,41,120
74,0,37,112
75,0,36,134
76,0,41,165
77,0,37,156
78,0,41,162
79,0,43,174
80,0,44,166
81,0,48,165
82,0,54,161
83,0,56,169
84,0,64,170
85,0,51,164
86,0,48,180
87,0,45,167
88,0,46,181
89,0,50,168
90,0,63,154
91,0,58,153
92,0,59,152
93,0,63,156
94,0,70,141
95,0,72,136
96,0,69,121
97,0,67,131
98,0,62,115
99,0,65,112
100,0,64,115
101,0,65,109
102,0,60,105
103,0,67,102
104,0,65,116
105,0,57,122
106,0,47,122
107,0,50,112
108,0,46,121
109,0,49,113
110,0,52,133
111,0,56,131
112,0,56,118
113,0,58,118
114,0,70,136
115,0,65,139
116,0,65,138
117,0,67,135
118,0,65,134
119,0,58,122
120,0,60,120
121,0,63,131
122,0,70,134
123,0,66,123
124,0,59,125
125,0,56,139
126,0,56,144
127,0,48,142
128,0,48,134
129,0,45,138
130,0,39,138
131,0,41,141
132,0,42,149
133,0,41,152
134,0,43,162
135,0,37,152
136,0,35,155
137,0,32,175
138,0,35,166
139,0,35,186
140,0,32,191
141,0,35,193
142,0,41,184
143,0,38,197
144,0,45,189
145,0,46,200
146,0,51,192
147,0,57,188
148,0,67,172
149,0,70,152
150,0,84,153
151,0,82,144
152,0,72,120
153,0,75,108
154,0,86,114
155,0,84,100
156,0,81,96
157,0,78,95
158,0,72,95
159,0,70,88
160,0,76,95
161,0,62,81
162,0,61,86
163,0,56,78
164,0,62,81
165,0,54,93
166,0,57,100
167,0,59,94
168,0,55,99
169,0,54,136
170,0,45,137
171,0,45,129
172,0,41,162
173,0,45,152
174,0,39,179
175,0,39,172
176,0,33,193
177,0,40,197
178,0,38,197
179,0,36,185
180,0,30,207
181,0,30,194
182,0,34,205
183,0,40,190
184,0,45,194
185,0,46,192
186,0,50,178
187,0,51,169
188,0,53,163
189,0,61,166
190,0,64,152
191,0,61,160
192,0,62,145
193,0,55,155
194,0,58,146
195,0,56,146
196,0,53,144
197,0,55,138
198,0,59,126
199,0,58,133
200,0,52,128
201,0,61,115
202,0,57,130
203,0,57,116
204,0,59,131
205,0,58,122
206,0,60,130
207,0,64,141
208,0,63,128
209,0,71,147
210,0,68,147
211,0,67,140
212,0,68,137
213,0,76,119
214,0,76,107
215,0,77,115
216,0,82,118
217,0,78,99
218,0,73,97
219,0,69,91
220,0,72,94
221,0,63,109
222,0,63,93
223,0,57,95
224,0,50,104
