,Wolves,Sheep,Grass
0,30,90,202
1,30,81,170
2,30,74,146
3,30,72,129
4,30,68,135
5,30,61,131
6,30,55,126
7,30,54,126
8,30,50,127
9,30,47,125
10,30,45,129
11,30,41,119
12,30,39,122
13,30,33,125
14,30,32,132
15,30,31,130
16,30,35,133
17,30,26,135
18,30,25,140
19,30,20,150
20,30,19,157
21,30,20,184
22,30,21,178
23,30,20,205
24,30,19,232
25,30,19,224
26,30,20,243
27,30,18,250
28,30,17,245
29,30,17,261
30,30,17,266
31,30,18,277
32,30,17,275
33,30,15,276
34,30,14,271
35,30,14,269
36,30,15,276
37,30,14,271
38,30,15,267
39,30,14,261
40,30,15,268
41,26,15,260
42,26,15,267
43,26,15,276
44,26,14,270
45,26,13,287
46,26,11,287
47,26,11,283
48,27,11,287
49,29,10,291
50,31,10,291
51,32,10,291
52,34,10,293
53,35,9,298
54,36,9,297
55,37,9,291
56,33,9,292
57,33,8,296
58,33,8,309
59,34,8,305
60,33,7,308
61,30,7,309
62,30,8,313
63,31,8,314
64,33,9,321
65,37,10,318
66,39,12,314
67,39,10,313
68,39,9,315
69,41,10,314
70,42,8,309
71,38,7,313
72,39,7,310
73,38,7,312
74,39,7,321
75,35,7,319
76,35,7,323
77,35,5,326
78,37,4,328
79,38,4,326
80,38,4,327
81,35,4,331
82,35,4,333
83,32,4,332
84,30,4,337
85,27,4,335
86,26,4,336
87,21,5,340
88,19,5,344
89,17,5,346
90,14,5,350
91,14,5,353
92,14,6,356
93,14,6,351
94,15,6,349
95,14,5,350
96,17,4,349
97,17,3,348
98,17,3,346
99,16,3,348
100,15,3,350
101,14,3,349
102,14,3,347
103,12,3,348
104,10,3,345
105,10,3,345
106,10,3,348
107,11,3,349
108,7,3,351
109,8,2,354
110,9,2,353
111,9,2,357
112,8,2,357
113,8,2,363
114,8,2,362
115,8,2,368
116,8,2,366
117,8,2,370
118,8,2,370
119,8,2,370
120,8,1,374
121,8,1,376
122,8,1,376
123,9,2,378
124,8,2,381
125,6,2,381
126,4,2,382
127,4,2,382
128,4,2,383
129,2,2,383
130,2,2,382
131,2,3,380
132,2,3,378
133,2,3,379
134,2,3,378
135,3,4,379
136,3,4,378
137,3,4,375
138,3,4,377
139,3,4,376
140,3,4,373
141,3,4,371
142,3,5,369
143,3,5,368
144,4,6,368
145,4,6,366
146,4,6,364
147,4,6,364
148,4,6,363
149,4,6,364
150,4,6,363
151,4,6,361
152,2,6,358
153,2,7,358
154,2,7,356
155,0,8,354
156,0,9,351
157,0,9,353
158,0,10,351
159,0,11,351
160,0,12,350
161,0,12,346
162,0,12,342
163,0,12,342
164,0,10,338
165,0,10,337
166,0,10,337
167,0,10,335
168,0,10,333
169,0,10,333
170,0,11,334
171,0,11,332
172,0,11,331
173,0,11,326
174,0,10,329
175,0,11,328
176,0,11,323
177,0,11,320
178,0,12,322
179,0,12,315
180,0,12,312
181,0,12,311
182,0,12,306
183,0,12,308
184,0,13,304
185,0,13,308
186,0,13,303
187,0,14,301
188,0,15,299
189,0,15,292
190,0,15,286
191,0,15,283
192,0,16,277
193,0,16,267
194,0,16,271
195,0,17,263
196,0,17,261
197,0,17,262
198,0,17,266
199,0,17,258
200,0,17,264
201,0,18,254
202,0,18,252
203,0,19,258
204,0,20,250
205,0,21,253
206,0,21,243
207,0,21,237
208,0,21,237
209,0,22,234
210,0,23,226
211,0,23,229
212,0,24,229
213,0,25,244
214,0,25,239
215,0,25,239
216,0,26,235
217,0,27,228
218,0,28,227
219,0,28,224
220,0,28,218
221,0,28,216
222,0,29,225
223,0,29,224
224,0,30,222
225,0,30,222
226,0,31,213
227,0,30,223
228,0,30,224
229,0,31,226
230,0,33,223
